GetEnrollment-HappyPath,BaaS_Core Service,1410870,Run Test Case,https://gdcqatestrail01/testrail/index.php?/tests/view/177233668,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131299-2024-06-29-20-49-32--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131299-2024-06-29-20-49-32--response.txt
Interest Rate Tiers- UpdateTierName,BaaS_Core Service,1410870,Run TestCase - UpdateTierName,https://gdcqatestrail01/testrail/index.php?/tests/view/177233657,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131007-2024-06-29-20-49-24--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131007-2024-06-29-20-49-24--response.txt
Interest Rate Tiers- AlreadyExistedTierName,BaaS_Core Service,1410870,Run TestCase -TierNameExisted,https://gdcqatestrail01/testrail/index.php?/tests/view/177233656,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131006-2024-06-29-20-49-22--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131006-2024-06-29-20-49-22--response.txt
PauseCard - UnpauseCard - MockMoneyGuard - ACI,BaaS_Core Service,1410870,Run TestCase - ACIValidation - PauseVirtual,https://gdcqatestrail01/testrail/index.php?/tests/view/177233691,https://gdcqatestrail01.nextestate.com:448/108/1410870/201132970-2024-06-29-20-49-11--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201132970-2024-06-29-20-49-11--response.txt
PauseCard - UnpauseCard - CustomerInitiatedHold,BaaS_Core Service,1410870,Run TestCase - ACIValidation - PauseVirtual,https://gdcqatestrail01/testrail/index.php?/tests/view/177233690,https://gdcqatestrail01.nextestate.com:448/108/1410870/201132968-2024-06-29-20-48-51--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201132968-2024-06-29-20-48-51--response.txt
Interest Rate Tiers- All Products,BaaS_Core Service,1410870,Run TestCase - Get Interest Rate - Before Rate Change,https://gdcqatestrail01/testrail/index.php?/tests/view/177233643,https://gdcqatestrail01.nextestate.com:448/108/1410870/201130975-2024-06-29-20-47-41--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201130975-2024-06-29-20-47-41--response.txt
SetStatus - CustomerInitiatedSpendDown - VaultLimit - LimitAmountMin,BaaS_Core Service,1410870,Run TestCase - Checking to Saving,https://gdcqatestrail01/testrail/index.php?/tests/view/177233676,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131510-2024-06-29-20-43-00--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131510-2024-06-29-20-43-00--response.txt
SetStatus - CustomerInitiatedSpendDown - VaultLimit - LimitAmountMax,BaaS_Core Service,1410870,Run TestCase - Checking to Saving,https://gdcqatestrail01/testrail/index.php?/tests/view/177233675,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131509-2024-06-29-20-38-16--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131509-2024-06-29-20-38-16--response.txt
SetStatus - CustomerInitiatedSpendDown - PositiveAvailableBalance,BaaS_Core Service,1410870,Run TestCase - Checking to Saving,https://gdcqatestrail01/testrail/index.php?/tests/view/177233674,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131508-2024-06-29-20-33-35--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201131508-2024-06-29-20-33-35--response.txt
Accounts - Financial Data Account,BaaS_Core Service,1410870,Run TestCase - CashBackRewards,https://gdcqatestrail01/testrail/index.php?/tests/view/177233651,https://gdcqatestrail01.nextestate.com:448/108/1410870/201130984-2024-06-29-20-28-00--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410870/201130984-2024-06-29-20-28-00--response.txt
